ESSN|DEPENDENT_NAME|PNO|TOTAL_HOURS_SPENT
123456789| Michael|1|32.5
123456789| Alice|1|32.5
123456789| Elizabeth|1|32.5
123456789| Michael|2|7.5
123456789| Alice|2|7.5
333445555| Alice|2|10.0
333445555| Theodore|2|10.0
333445555| Joy|2|10.0
333445555| Theodore|3|10.0
333445555| Joy|3|10.0
333445555| Alice|10|10.0
333445555| Theodore|10|10.0
333445555| Joy|10|10.0
333445555| Alice|20|10.0
333445555| Joy|20|10.0
987654321| Abner|20|15.0
753453457| Pep|20|10.0
753453457| Pep|30|30.0
753453457| Jo|10|10.0
123456789| Elizabeth|2|7.5
333445555| Alice|3|10.0
333445555| Theodore|20|10.0
753453457| Jo|20|10.0
753453457| Jo|30|30.0
753453457| Pep|10|10.0
987654321| Abner|30|20.0
